Collection Name,Test Title,Section Name,Subject,Topic,Q Type,Difficulty,Question Content,Opt 1,Opt 2,Opt 3,Opt 4,Correct Opt (1-4),Marks,Neg Marks
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Syllogism,SINGLE_CHOICE,EASY,"<b>Statements:</b> All A are B. Some B are C.<br><b>Conclusions:</b> I. Some A are C. II. No A is C.",Only I follows,Only II follows,Either I or II follows,Both follow,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Syllogism,SINGLE_CHOICE,MEDIUM,"<b>Statements:</b> No cat is dog. All dogs are birds.<br><b>Conclusions:</b> I. Some birds are cats. II. Some birds are not cats.",Only I follows,Only II follows,Either I or II follows,Neither follows,2,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Inequality,SINGLE_CHOICE,EASY,"<b>Statement:</b> P > Q >= R = S < T<br><b>Conclusions:</b> I. P > S, II. Q < T",Only I,Only II,Both I and II,Neither,1,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Inequality,SINGLE_CHOICE,MEDIUM,"<b>Statement:</b> A <= B < C = D >= E<br><b>Conclusions:</b> I. A < D, II. C >= E",Only I,Only II,Both I and II,Neither,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Blood Relation,SINGLE_CHOICE,HARD,"A is the father of B. C is the daughter of B. D is the brother of C. How is A related to D?",Grandfather,Uncle,Father,Brother,1,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Direction Sense,SINGLE_CHOICE,MEDIUM,"A man walks 5km North, then turns right for 12km. What is his shortest distance from the start?",11km,12km,13km,15km,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Coding Decoding,SINGLE_CHOICE,MEDIUM,"If 'APPLE' is written as 'BQQMF', how is 'MANGO' written?",NBOHP,NBPGP,OBOHP,NCPHP,1,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Puzzles,SINGLE_CHOICE,HARD,"Five people sit in a row. A is right to B. C is left to D. E is between A and C. Who sits in the middle?",A,B,C,E,4,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Puzzles,SINGLE_CHOICE,HARD,"Based on the previous arrangement, who is at the extreme right?",A,C,D,E,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,Reasoning Ability,Logic,Data Sufficiency,SINGLE_CHOICE,HARD,"What is the value of x?<br>I. x^2 = 36<br>II. x > 0",I alone is sufficient,II alone is sufficient,Both are required,Either is sufficient,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Error Spotting,SINGLE_CHOICE,MEDIUM,"Find the error: Neither the manager nor the employees <b>was</b> aware of the changes.",Neither the manager,nor the employees,was aware,of the changes,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Error Spotting,SINGLE_CHOICE,HARD,"Find the error: Scarcely had I reached the station <b>than</b> the train left.",Scarcely had I,reached the station,than the train,left,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Fillers,SINGLE_CHOICE,EASY,"The new software is highly ____ to cyber attacks.",vulnerable,immune,strong,resistant,1,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Fillers,SINGLE_CHOICE,MEDIUM,"Despite his wealth, he lives a very ____ lifestyle.",luxurious,ostentatious,frugal,extravagant,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Synonyms,SINGLE_CHOICE,EASY,"Synonym of 'ABUNDANT'",Scarce,Plentiful,Rare,Minimal,2,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Synonyms,SINGLE_CHOICE,HARD,"Synonym of 'EPHEMERAL'",Eternal,Transient,Permanent,Endless,2,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Antonyms,SINGLE_CHOICE,MEDIUM,"Antonym of 'MITIGATE'",Alleviate,Relieve,Aggravate,Soothe,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Idioms,SINGLE_CHOICE,MEDIUM,"Meaning of 'Burn the midnight oil'",To destroy evidence,To work late into the night,To cause a fire,To waste resources,2,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Idioms,SINGLE_CHOICE,HARD,"Meaning of 'A blessing in disguise'",A curse,A hidden enemy,A good thing that seemed bad,A fake prayer,3,1,0.25
Banking Elite 2026,SBI PO Prelims Mock 1,English Language,English,Para Jumbles,SINGLE_CHOICE,HARD,"What should be the FIRST sentence after rearrangement?",A,B,C,D,2,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Data Interpretation,SINGLE_CHOICE,HARD,"In a pie chart, if the total angle is 360 degrees, what angle represents 25% of the total?",45 degrees,90 degrees,120 degrees,180 degrees,2,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Data Interpretation,SINGLE_CHOICE,HARD,"If factory A produces 400 units and factory B produces 600, what % of the total does A produce?",30%,40%,50%,60%,2,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Mensuration,SINGLE_CHOICE,MEDIUM,"What is the area of a circle with radius 7cm? (Use pi = 22/7)",144 sq cm,154 sq cm,164 sq cm,174 sq cm,2,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Mensuration,SINGLE_CHOICE,HARD,"Find the volume of a cube with side 5cm.",100 cubic cm,125 cubic cm,150 cubic cm,175 cubic cm,2,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Probability,SINGLE_CHOICE,HARD,"Two dice are thrown. What is the probability of getting a sum of 9?",1/9,1/12,1/6,1/8,1,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Permutation,SINGLE_CHOICE,HARD,"In how many ways can the letters of the word 'MATH' be arranged?",12,24,36,48,2,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Trains,SINGLE_CHOICE,MEDIUM,"A 100m long train crosses a pole in 10 seconds. Find its speed in km/hr.",36 km/hr,45 km/hr,54 km/hr,72 km/hr,1,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Boats and Streams,SINGLE_CHOICE,HARD,"Speed of boat in still water is 10 km/hr and stream is 2 km/hr. Find downstream speed.",8 km/hr,10 km/hr,12 km/hr,14 km/hr,3,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Partnership,SINGLE_CHOICE,MEDIUM,"A and B invest Rs 5000 and Rs 10000. Ratio of their profit is?",1:1,1:2,2:1,1:3,2,1,0.25
Banking Elite 2026,IBPS PO Quant Sectional 1,Quantitative Aptitude,Math,Ages,SINGLE_CHOICE,EASY,"The sum of ages of a father and son is 50. Father is 30 years older. Find son's age.",5,10,15,20,2,1,0.25
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Analogy,SINGLE_CHOICE,EASY,"Bird : Nest :: Horse : ?",Stable,Den,Web,Pen,1,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Classification,SINGLE_CHOICE,EASY,"Find the odd one out: Apple, Mango, Potato, Orange",Apple,Mango,Potato,Orange,3,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Number Series,SINGLE_CHOICE,MEDIUM,"1, 4, 9, 16, 25, ?",30,36,40,49,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Venn Diagram,SINGLE_CHOICE,MEDIUM,"Which diagram represents Women, Mothers, Engineers?",Concentric circles,Overlapping,Disjoint,None,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Matrix,SINGLE_CHOICE,HARD,"Identify the set for the word 'ROAD' based on standard matrix.",[12 34 56 78],[21 43 65 87],[00 11 22 33],[99 88 77 66],1,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Paper Folding,SINGLE_CHOICE,HARD,"If a square paper is folded twice and a hole is punched, how many holes appear when unfolded?",1,2,4,8,3,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Mirror Image,SINGLE_CHOICE,EASY,"What is the mirror image of 'AMBULANCE'?",ECNALUBMA,AMBULANCE,ENACLUAMB,None,1,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Embedded Figure,SINGLE_CHOICE,MEDIUM,"Find the figure embedded in the pattern.",Fig 1,Fig 2,Fig 3,Fig 4,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Dice,SINGLE_CHOICE,HARD,"Which number is opposite to 4 in a standard dice?",1,2,3,5,3,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Intelligence,Reasoning,Calendar,SINGLE_CHOICE,HARD,"If 1st Jan 2001 was a Monday, what was 1st Jan 2002?",Monday,Tuesday,Wednesday,Sunday,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,History,Ancient India,SINGLE_CHOICE,EASY,"The Harappan Civilization belonged to which age?",Stone Age,Bronze Age,Iron Age,Copper Age,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,History,Medieval India,SINGLE_CHOICE,MEDIUM,"Who built the Taj Mahal?",Akbar,Jahangir,Shah Jahan,Aurangzeb,3,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,History,Modern India,SINGLE_CHOICE,MEDIUM,"When was the Indian National Congress founded?",1857,1885,1905,1947,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,Geography,Indian Geography,SINGLE_CHOICE,EASY,"Which is the longest river in India?",Brahmaputra,Ganga,Godavari,Yamuna,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,Geography,World Geography,SINGLE_CHOICE,MEDIUM,"Which is the largest desert in the world?",Thar,Gobi,Sahara,Antarctic Desert,4,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,Polity,Constitution,SINGLE_CHOICE,HARD,"Article 32 of the Indian Constitution deals with?",Fundamental Duties,Right to Constitutional Remedies,Panchayati Raj,Elections,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,Polity,President,SINGLE_CHOICE,MEDIUM,"What is the minimum age to become the President of India?",25 years,30 years,35 years,40 years,3,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,Economy,Macroeconomics,SINGLE_CHOICE,HARD,"Which institution calculates GDP in India?",RBI,CSO,NITI Aayog,Finance Ministry,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,Science,Physics,SINGLE_CHOICE,EASY,"What is the SI unit of Force?",Joule,Newton,Pascal,Watt,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,General Awareness,Science,Chemistry,SINGLE_CHOICE,MEDIUM,"What is the chemical name of Baking Soda?",Sodium Carbonate,Sodium Bicarbonate,Sodium Chloride,Sodium Hydroxide,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Algebra,SINGLE_CHOICE,EASY,"If x + y = 10 and x - y = 4, find x.",3,7,10,14,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Algebra,SINGLE_CHOICE,HARD,"If x + 1/x = 3, what is x^2 + 1/x^2?",7,9,11,13,1,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Geometry,SINGLE_CHOICE,MEDIUM,"The sum of interior angles of a triangle is?",90,180,270,360,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Geometry,SINGLE_CHOICE,HARD,"In a right-angled triangle, if base = 3 and height = 4, find hypotenuse.",4,5,6,7,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Trigonometry,SINGLE_CHOICE,MEDIUM,"What is the value of sin(30°)?",1/2,1/sqrt(2),sqrt(3)/2,1,1,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Trigonometry,SINGLE_CHOICE,HARD,"Evaluate: tan²(45°) + cos²(60°)",1.25,1.5,1.75,2,1,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Mensuration,SINGLE_CHOICE,MEDIUM,"Volume of a cylinder with radius r and height h is?",pi*r*h,pi*r^2*h,2*pi*r*h,4/3*pi*r^3,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Mensuration,SINGLE_CHOICE,HARD,"Total surface area of a hemisphere is?",pi*r^2,2*pi*r^2,3*pi*r^2,4*pi*r^2,3,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Statistics,SINGLE_CHOICE,EASY,"Find the mean of first 5 natural numbers.",2,3,4,5,2,2,0.5
SSC CGL Maha Pack,SSC CGL Tier 1 Mock 1,Quantitative Aptitude,Math,Statistics,SINGLE_CHOICE,MEDIUM,"What is the mode of the dataset: 2, 3, 3, 4, 5?",2,3,4,5,2,2,0.5
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Polity,Fundamental Rights,SINGLE_CHOICE,HARD,"Consider the following:<br>1. Right to Privacy is a Fundamental Right.<br>2. It falls under Article 21.<br>Which is correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,3,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Polity,Parliament,SINGLE_CHOICE,HARD,"A Money Bill can be introduced only in the:",Rajya Sabha,Lok Sabha,Both Houses simultaneously,Joint Sitting,2,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,History,Modern India,SINGLE_CHOICE,MEDIUM,"Who wrote the book 'Hind Swaraj'?",Jawaharlal Nehru,Mahatma Gandhi,B.R. Ambedkar,Subhash Chandra Bose,2,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,History,Revolt of 1857,SINGLE_CHOICE,HARD,"Who led the Revolt of 1857 in Kanpur?",Begum Hazrat Mahal,Kunwar Singh,Nana Saheb,Rani Lakshmibai,3,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Geography,Climatology,SINGLE_CHOICE,HARD,"El Nino refers to the abnormal warming of the surface waters of which ocean?",Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,3,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Geography,Geomorphology,SINGLE_CHOICE,MEDIUM,"Which of the following is an example of a Block Mountain?",Himalayas,Andes,Vindhyas,Rockies,3,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Economy,Inflation,SINGLE_CHOICE,HARD,"Stagflation is defined as a situation where:",High inflation combined with high unemployment,High inflation combined with high growth,Low inflation combined with low growth,Deflation combined with high unemployment,1,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Economy,Banking,SINGLE_CHOICE,MEDIUM,"The term 'Repo Rate' is associated with:",Stock Market,Banking,Real Estate,Insurance,2,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Environment,Biodiversity,SINGLE_CHOICE,HARD,"The 'Red Data Book' is published by:",UNEP,WWF,IUCN,Greenpeace,3,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Environment,Climate Change,SINGLE_CHOICE,MEDIUM,"Kyoto Protocol is related to:",Ozone depletion,Greenhouse gas emissions,Wetland conservation,Hazardous waste,2,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Science & Tech,Space,SINGLE_CHOICE,HARD,"The James Webb Space Telescope operates primarily in which spectrum?",Ultraviolet,Visible light,Infrared,X-ray,3,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Science & Tech,Biotechnology,SINGLE_CHOICE,HARD,"CRISPR-Cas9 is a technology used for:",Cloning,Gene editing,Stem cell research,Vaccine development,2,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Current Affairs,International Relations,SINGLE_CHOICE,MEDIUM,"The headquarters of the World Trade Organization (WTO) is located in:",New York,Geneva,Paris,London,2,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Current Affairs,Indices,SINGLE_CHOICE,HARD,"The Human Development Index (HDI) is published by:",World Bank,IMF,UNDP,World Economic Forum,3,2,0.66
UPSC Prelims 2026,GS Paper 1 Mock,General Studies,Art & Culture,Architecture,SINGLE_CHOICE,HARD,"The Brihadisvara Temple at Thanjavur was built by?",Raja Raja Chola I,Rajendra Chola,Narasimhavarman,Krishnadevaraya,1,2,0.66
